error_id,date_found,chapter,batch_id,block_id,resource_id,category,subcategory,severity,english_fragment,russian_fragment,description,rationale,required_fix,source,xhtml_path,pdf_page,status,initial_check,root_cause,related_error_ids,reviewer_note,correction,recheck,reserved
CH06-ERR-113,2026-08-16,CH06,CH06-BATCH-007,CH06-B0246,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,TERMINOLOGY,approved_glossary_form,Medium,"Features look backward : A 20-day momentum feature uses data from the past 20 days. If training follows validation (as in k-fold or combinatorial schemes; see Combinatorial methods and path dependence below), a training observation immediately after the validation period computes features using prices from the validation period.","Признаки используют предшествующий период: 20-дневный признак моментума рассчитывается по данным за предыдущие 20 дней. Если обучение следует после проверки (как в k-кратных или комбинаторных схемах; см. ниже раздел «Комбинаторные методы и зависимость от траектории»), то для обучающего наблюдения сразу после проверочного периода признаки рассчитываются по ценам из проверочного периода.",Momentum feature used the non-approved term «признак импульса».,GL-0262 and the chapter ledger require «признак моментума».,Use the approved term.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[143]/*[2],180/139,VERIFIED_CLOSED,CONFIRMED,glossary form omitted,,,Replaced with «признак моментума».,PASS: independent language recheck confirmed GL-0262.,
CH06-ERR-114,2026-08-16,CH06,CH06-BATCH-007,CH06-B0247,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,TERMINOLOGY,approved_glossary_form,Medium,"The solution is temporal buffers: gaps that prevent labels and features from reaching across the boundary. In practice, always count buffer gaps in trading days , not calendar days. The difference is material. For example, a 21-trading-day label buffer in January 2024 spans 30–32 calendar days; a naive 21- calendar -day purge covers only 15 trading days, leaving 6 days of label leakage (see 01_cv_foundations ):","Решением служат временные буферы: зазоры, которые не позволяют меткам и признакам пересекать границу между выборками. На практике всегда измеряйте буферные зазоры в торговых, а не календарных днях. Разница существенна. Например, буфер меток длиной 21 торговый день в январе 2024 года охватывает 30–32 календарных дня; наивное исключение пересекающихся наблюдений за 21 календарный день охватывает лишь 15 торговых дней, оставляя 6 дней утечки через метки (см. 01_cv_foundations):",Purge was rendered as generic data exclusion.,GL-0057 and B0248 require «исключение пересекающихся наблюдений».,Use the approved purge term.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[144],180/139,VERIFIED_CLOSED,CONFIRMED,glossary form omitted,,,Used «исключение пересекающихся наблюдений».,PASS: independent language recheck confirmed GL-0057.,
CH06-ERR-115,2026-08-16,CH06,CH06-BATCH-007,CH06-B0251,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,TERMINOLOGY,approved_glossary_form,Medium,"Walk-forward splits reveal how choices behave when the “fit on the past, predict the future” pattern is repeated. But they do not, by themselves, answer the governance question: when do we stop selecting and start measuring?","Пошаговые разбиения с продвижением во времени показывают, как ведут себя выбранные решения при многократном повторении схемы «обучить на прошлом, спрогнозировать будущее». Но сами по себе они не отвечают на вопрос управления и контроля: когда мы прекращаем отбор и начинаем измерение?",Governance lost the control component.,GL-0237 requires «управление и контроль» in this context.,Restore the approved term.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[147],181/140,VERIFIED_CLOSED,CONFIRMED,partial glossary rendering,,,Used «вопрос управления и контроля».,PASS: independent language recheck confirmed GL-0237.,
CH06-ERR-116,2026-08-16,CH06,CH06-BATCH-007,CH06-B0252,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,TERMINOLOGY,approved_glossary_form,Medium,"To make that boundary operational, reserve a sealed holdout test set : a final time block that plays no role in any development decision (signal definition, feature selection, hyperparameter tuning, model selection, or reporting choices). The holdout may be inspected only after the pipeline is frozen. During development, we select using the primary development metric computed on walk-forward validation; we report strategy outcomes after freezing the pipeline; and we use the sealed holdout only once for confirmation.","Чтобы сделать эту границу рабочей, зарезервируйте изолированную отложенную тестовую выборку: заключительный временной блок, который не участвует ни в одном решении разработки (определении сигнала, отборе признаков, настройке гиперпараметров, выборе модели или выборе способа представления результатов). Отложенную выборку можно изучать только после фиксации конвейера. В ходе разработки отбор ведётся по основной метрике разработки, рассчитанной при пошаговой проверке с продвижением во времени; результаты стратегии представляются после фиксации конвейера; изолированная отложенная выборка используется лишь один раз для подтверждающей проверки.",Confirmation was rendered too generally.,GL-0249 and ledger B0029 require «подтверждающая проверка».,Use the approved term.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[148],181/140,VERIFIED_CLOSED,CONFIRMED,glossary form shortened,,,Used «подтверждающей проверки».,PASS: independent language recheck confirmed GL-0249.,
CH06-ERR-117,2026-08-16,CH06,CH06-BATCH-007,CH06-B0257,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LANGUAGE,semantic_completeness,Medium,"Nested walk-forward can capture when model configurations change and can be more realistic. For example, with a two-year test period and a five-year lookback, a live strategy would likely retune the model more than once as assumed by the fixed-holdout approach. Nested walk-forward with many feature sets is computationally demanding; parallelized evaluation, incremental retraining, and feature caching are standard optimizations. The key invariant remains: tuning never uses future data relative to the outer test window.","Вложенная пошаговая проверка с продвижением во времени позволяет учитывать моменты изменения конфигураций модели и может реалистичнее отражать практику. Например, при двухлетнем тестовом периоде и пятилетнем ретроспективном окне действующая стратегия, вероятно, перенастраивала бы модель более одного раза, а не один раз, как предполагает подход с фиксированной отложенной выборкой. Вложенная пошаговая проверка с множеством наборов признаков требует значительных вычислительных ресурсов; стандартными оптимизациями служат параллельная оценка, инкрементальное повторное обучение и кэширование признаков. Ключевой инвариант сохраняется: настройка никогда не использует данные, будущие относительно внешнего тестового окна.",The translation lost when configurations change.,The source explicitly refers to capturing the moments of configuration change.,Restore the temporal component without adding meaning.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[153],182/141,VERIFIED_CLOSED,CONFIRMED,semantic component omitted,,,Used «учитывать моменты изменения конфигураций модели».,PASS: independent language recheck confirmed semantic completeness.,
CH06-ERR-118,2026-08-16,CH06,CH06-BATCH-007,CH06-B0261,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,TERMINOLOGY,approved_glossary_form,Medium,"Combinatorial evaluation is most useful when comparing many variants and seeking a more stable view of selection risk. It does not replace decision-time discipline: overlap leakage must still be prevented using the buffers described above, and each test block must be treated as “future” relative to its paired training blocks. Combinatorial evaluation is computationally expensive— configurations grow quickly—and offers diminishing returns when the time series is short or when most blocks share the same regime. We will discuss CPCV in more detail in Chapter 17 .","Комбинаторная оценка особенно полезна при сравнении множества вариантов и поиске более устойчивого представления о риске отбора. Она не отменяет дисциплину учёта момента принятия решения: утечку из-за пересечений по-прежнему необходимо предотвращать с помощью описанных выше буферов, а каждый тестовый блок следует рассматривать как «будущее» относительно соответствующих обучающих блоков. Комбинаторная оценка требует значительных вычислительных ресурсов: число конфигураций быстро растёт, а при коротком временном ряде или одном и том же рыночном режиме в большинстве блоков дополнительная отдача снижается. Подробнее CPCV рассматривается в главе 17.",Regime was rendered without the market qualifier.,GL-0089 requires «рыночный режим».,Use the approved term.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[157],182/141,VERIFIED_CLOSED,CONFIRMED,glossary qualifier omitted,,,Used «рыночном режиме».,PASS: independent language recheck confirmed GL-0089.,
CH06-ERR-119,2026-08-16,CH06,CH06-BATCH-007,CH06-B0273,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,TERMINOLOGY,chapter_ledger_form,Medium,"The notebook 02_case_study_overview.py shows the trading setups and time-series validation configurations for all case studies; the underlying analysis is in the 01_setup.py notebooks in each case study directory. Next, we discuss how to start research with a focused baseline.","Блокнот 02_case_study_overview.py показывает параметры торговли и конфигурации проверки временных рядов для всех практических примеров; исходный анализ находится в блокнотах 01_setup.py в каталоге каждого практического примера. Далее рассматривается, как начинать исследование с базового варианта, ограниченного по охвату.",Trading setups used «торговые конфигурации».,The canonical ledger requires «параметры торговли».,Use the ledger form.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[165],183/142,VERIFIED_CLOSED,CONFIRMED,chapter-ledger term omitted,,,Used «параметры торговли».,PASS: independent language recheck confirmed ledger consistency.,
CH06-ERR-120,2026-08-16,CH06,CH06-BATCH-007,CH06-B0275,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,TERMINOLOGY,approved_ledger_forms,Medium,"Before running large experiment grids, we need a baseline checkpoint : the smallest runnable specification that answers an early governance question: under the trading setup and evaluation protocol, is there enough stable structure to justify deeper work, or should the setup itself be revised?","Прежде чем запускать большие сетки экспериментов, необходима контрольная точка базового варианта — минимальная исполняемая спецификация, отвечающая на предварительный вопрос управления и контроля: достаточно ли устойчивой структуры при заданных параметрах торговли и протоколе оценки, чтобы оправдать более глубокую работу, или следует пересмотреть сами параметры торговли?",Governance and trading setup used non-approved variants.,GL-0237 and the chapter ledger require «управление и контроль» and «параметры торговли».,Apply both approved forms.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[167],183/142,VERIFIED_CLOSED,CONFIRMED,glossary and ledger forms omitted,,,Used «вопрос управления и контроля» and «параметрах торговли».,PASS: independent language recheck confirmed both forms.,
CH06-ERR-121,2026-08-16,CH06,CH06-BATCH-007,CH06-B0275,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LANGUAGE,added_meaning,Medium,"Before running large experiment grids, we need a baseline checkpoint : the smallest runnable specification that answers an early governance question: under the trading setup and evaluation protocol, is there enough stable structure to justify deeper work, or should the setup itself be revised?","Прежде чем запускать большие сетки экспериментов, необходима контрольная точка базового варианта — минимальная исполняемая спецификация, отвечающая на предварительный вопрос управления и контроля: достаточно ли устойчивой структуры при заданных параметрах торговли и протоколе оценки, чтобы оправдать более глубокую работу, или следует пересмотреть сами параметры торговли?",The translation added «в данных» to stable structure.,The source does not locate the structure specifically in data.,Remove the added phrase.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[167],183/142,VERIFIED_CLOSED,CONFIRMED,unwarranted explicitation,,,Removed «в данных».,PASS: independent language recheck confirmed no added meaning.,
CH06-ERR-122,2026-08-16,CH06,CH06-BATCH-007,CH06-B0280,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,TERMINOLOGY,approved_glossary_form,Medium,Trading-intensity sanity. Use a coarse proxy for how often the mapping would trade. The goal is to detect definitions that implicitly demand unrealistic turnover before building a detailed cost model.,"Проверка интенсивности торговли. Используйте приближённый показатель того, насколько часто это преобразование приводило бы к сделкам. Цель — до построения подробной модели издержек выявить определения, которые неявно требуют нереалистично высокого оборота портфеля.",Turnover used «оборачиваемость портфеля».,GL-0140 and ledger B0059/B0060 require «оборот портфеля».,Use the approved term.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[170]/*[3],184/143,VERIFIED_CLOSED,CONFIRMED,glossary form omitted,,,Used «оборота портфеля».,PASS: independent language recheck confirmed GL-0140.,
CH06-ERR-123,2026-08-16,CH06,CH06-BATCH-007,CH06-B0247,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LANGUAGE,naturalness,Low,"The solution is temporal buffers: gaps that prevent labels and features from reaching across the boundary. In practice, always count buffer gaps in trading days , not calendar days. The difference is material. For example, a 21-trading-day label buffer in January 2024 spans 30–32 calendar days; a naive 21- calendar -day purge covers only 15 trading days, leaving 6 days of label leakage (see 01_cv_foundations ):","Решением служат временные буферы: зазоры, которые не позволяют меткам и признакам пересекать границу между выборками. На практике всегда измеряйте буферные зазоры в торговых, а не календарных днях. Разница существенна. Например, буфер меток длиной 21 торговый день в январе 2024 года охватывает 30–32 календарных дня; наивное исключение пересекающихся наблюдений за 21 календарный день охватывает лишь 15 торговых дней, оставляя 6 дней утечки через метки (см. 01_cv_foundations):",The phrase «21-дневный по торговым дням буфер» was unnatural.,The style guide requires natural Russian syntax.,Use «буфер длиной 21 торговый день».,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[144],180/139,VERIFIED_CLOSED,CONFIRMED,literal syntax transfer,,,Recast as «буфер меток длиной 21 торговый день».,PASS: independent language recheck confirmed fluency.,
CH06-ERR-124,2026-08-16,CH06,CH06-BATCH-007,CH06-B0255,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LANGUAGE,verb_choice,Low,"Rolling retuning : To estimate the performance of a procedure that regularly retunes as new data arrives, split the overall test period into smaller windows and repeat the “fixed holdout” procedure for each window. At each test step, tune using only data strictly prior to the next test window, refit on admissible history, and then score on the next test window. Each test window is used for measurement only. This approach is called nested walk-forward because it uses an outer test loop and an inner model-selection loop. Bates et al. (2021) show that confidence intervals computed from nested CV have superior statistical properties. Figure 6.4 illustrates this procedure with expanding and rolling windows.","Скользящая перенастройка: чтобы оценить качество процедуры, которую регулярно перенастраивают по мере поступления новых данных, разделите общий тестовый период на меньшие окна и повторите для каждого окна процедуру «фиксированной отложенной выборки». На каждом шаге тестирования выполняйте настройку только по данным, строго предшествующим следующему тестовому окну, повторно обучайте модель на допустимой истории, а затем оценивайте модель на следующем тестовом окне. Каждое тестовое окно используется только для измерения. Этот подход называется вложенной пошаговой проверкой с продвижением во времени, поскольку в нём применяются внешний цикл тестирования и внутренний цикл выбора модели. Бейтс и соавт. (2021) показывают, что доверительные интервалы, рассчитанные с помощью вложенной перекрёстной проверки, обладают лучшими статистическими свойствами. На рисунке 6.4 эта процедура показана для расширяющихся и скользящих окон.",The model was described as calculating an estimate on a window.,In context the procedure evaluates the model on the next window.,Use a natural evaluation verb.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[150]/*[2],181/140,VERIFIED_CLOSED,CONFIRMED,literal verb transfer,,,Used «оценивайте модель на следующем тестовом окне».,PASS: independent language recheck confirmed meaning and naturalness.,
CH06-ERR-125,2026-08-16,CH06,CH06-BATCH-007,CH06-B0256,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LOCALIZATION,caption_punctuation,Low,Figure 6.4: Nested walk-forward CV with rolling windows,Рисунок 6.4: Вложенная пошаговая перекрёстная проверка с продвижением во времени и скользящими окнами,Caption punctuation used a period after the figure number.,"EPUB, PDF and ledger use a colon.",Restore the colon.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[152],181/140,VERIFIED_CLOSED,CONFIRMED,caption punctuation normalized incorrectly,,,Changed to «Рисунок 6.4:».,PASS: independent language and structural rechecks confirmed the caption.,
CH06-ERR-126,2026-08-16,CH06,CH06-BATCH-007,CH06-B0272,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LOCALIZATION,caption_punctuation,Low,"Figure 6.5: Training, validation, and holdout periods for the nine case studies","Рисунок 6.5: Периоды обучения, проверки и отложенного тестирования для девяти практических примеров",Caption punctuation used a period after the figure number.,"EPUB, PDF and ledger use a colon.",Restore the colon.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[164],183/142,VERIFIED_CLOSED,CONFIRMED,caption punctuation normalized incorrectly,,,Changed to «Рисунок 6.5:».,PASS: independent language and structural rechecks confirmed the caption.,
CH06-ERR-127,2026-08-16,CH06,CH06-BATCH-007,CH06-B0264,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LANGUAGE,grammar_parallelism,Low,"Window lengths: Training, validation (if used), and test","Длины окон: обучающего, проверочного (если используется) и тестового",Window-length list used inconsistent singular and noun forms.,The Russian list should use parallel genitive forms.,"Use «Длины окон: обучающего, проверочного ... и тестового».",EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[160]/*[1],182/141,VERIFIED_CLOSED,CONFIRMED,literal list syntax,,,Recast with parallel genitive forms while preserving the validation qualifier.,PASS: independent language recheck confirmed grammar and completeness.,
CH06-ERR-128,2026-08-16,CH06,CH06-BATCH-007,CH06-B0271,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LANGUAGE,syntactic_calque,Low,"Figure 6.5 shows the prediction coverage across the case studies. Coverage varies substantially; this heterogeneity motivates strategy-specific protocol choices, and the figure serves as a reference for understanding the statistical depth available for each case study.","На рисунке 6.5 показан охват прогнозов по практическим примерам. Охват существенно различается; эта неоднородность требует выбирать протокол с учётом конкретной стратегии, а рисунок помогает оценить доступный объём данных для статистического анализа по каждому практическому примеру.",«статистическая глубина» was a lexical calque.,The source refers to the amount of data available for statistical analysis.,Use a natural Russian formulation.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[162],183/142,VERIFIED_CLOSED,CONFIRMED,lexical calque,,,Used «объём данных для статистического анализа».,PASS: independent language recheck confirmed meaning and fluency.,
CH06-ERR-129,2026-08-16,CH06,CH06-BATCH-007,CH06-B0273,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LANGUAGE,syntactic_calque,Low,"The notebook 02_case_study_overview.py shows the trading setups and time-series validation configurations for all case studies; the underlying analysis is in the 01_setup.py notebooks in each case study directory. Next, we discuss how to start research with a focused baseline.","Блокнот 02_case_study_overview.py показывает параметры торговли и конфигурации проверки временных рядов для всех практических примеров; исходный анализ находится в блокнотах 01_setup.py в каталоге каждого практического примера. Далее рассматривается, как начинать исследование с базового варианта, ограниченного по охвату.",«сфокусированный базовый вариант» was a lexical calque.,The source means a baseline limited in scope.,Use a natural Russian formulation.,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[165],183/142,VERIFIED_CLOSED,CONFIRMED,lexical calque,,,"Used «базовый вариант, ограниченный по охвату».",PASS: independent language recheck confirmed meaning and fluency.,
CH06-ERR-130,2026-08-16,CH06,CH06-BATCH-007,CH06-B0275,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LANGUAGE,grammar_agreement,Medium,"Before running large experiment grids, we need a baseline checkpoint : the smallest runnable specification that answers an early governance question: under the trading setup and evaluation protocol, is there enough stable structure to justify deeper work, or should the setup itself be revised?","Прежде чем запускать большие сетки экспериментов, необходима контрольная точка базового варианта — минимальная исполняемая спецификация, отвечающая на предварительный вопрос управления и контроля: достаточно ли устойчивой структуры при заданных параметрах торговли и протоколе оценки, чтобы оправдать более глубокую работу, или следует пересмотреть сами параметры торговли?",The first terminology correction produced «при заданной параметрах торговли».,The plural noun requires plural agreement.,Use «при заданных параметрах торговли».,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[167],183/142,VERIFIED_CLOSED,CONFIRMED,integrator terminology replacement left the source adjective unchanged,,,Changed to «при заданных параметрах торговли».,PASS: independent language recheck cycle 2 confirmed grammatical agreement.,
CH06-ERR-131,2026-08-16,CH06,CH06-BATCH-007,CH06-B0275,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,TERMINOLOGY,chapter_ledger_form,Medium,"Before running large experiment grids, we need a baseline checkpoint : the smallest runnable specification that answers an early governance question: under the trading setup and evaluation protocol, is there enough stable structure to justify deeper work, or should the setup itself be revised?","Прежде чем запускать большие сетки экспериментов, необходима контрольная точка базового варианта — минимальная исполняемая спецификация, отвечающая на предварительный вопрос управления и контроля: достаточно ли устойчивой структуры при заданных параметрах торговли и протоколе оценки, чтобы оправдать более глубокую работу, или следует пересмотреть сами параметры торговли?",The closing alternative still referred to revising «конфигурацию».,The same source term setup must consistently use the ledger form «параметры торговли».,Use «пересмотреть сами параметры торговли».,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[167],183/142,VERIFIED_CLOSED,CONFIRMED,second occurrence of the ledger term was missed in cycle 1,,,Changed to «пересмотреть сами параметры торговли».,PASS: independent language recheck cycle 2 confirmed ledger consistency.,
CH06-ERR-132,2026-08-16,CH06,CH06-BATCH-007,CH06-B0280,11luC00OhnLC7yvnDhBAjGCX6TGKKue6U,LANGUAGE,grammar_agreement,Medium,Trading-intensity sanity. Use a coarse proxy for how often the mapping would trade. The goal is to detect definitions that implicitly demand unrealistic turnover before building a detailed cost model.,"Проверка интенсивности торговли. Используйте приближённый показатель того, насколько часто это преобразование приводило бы к сделкам. Цель — до построения подробной модели издержек выявить определения, которые неявно требуют нереалистично высокого оборота портфеля.",The terminology correction produced «нереалистично высокой оборота портфеля».,The masculine noun «оборот» requires masculine agreement.,Use «нереалистично высокого оборота портфеля».,EPUB + PDF + canonical chapter ledger + ML4T glossary/style guide v1.14,/*/*[2]/*/*[170]/*[3],184/143,VERIFIED_CLOSED,CONFIRMED,integrator terminology replacement left the source adjective unchanged,,,Changed to «нереалистично высокого оборота портфеля».,PASS: independent language recheck cycle 2 confirmed grammatical agreement.,
